City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Soria,ES,58.86,clear sky,41.6667,-2.6667,Casa Rural Sierra de Inodejo
218,Xiaoweizhai,CN,66.06,scattered clouds,26.1903,107.5125,Karst Youth Hostel
219,Norman Wells,CA,50.04,light rain,65.282,-126.8329,Heritage Hotel
222,Kiunga,PG,73.17,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
224,Komsomolskiy,UZ,87.22,broken clouds,40.4272,71.7189,Ikathouse
226,Indi,IN,79.0,broken clouds,17.1667,75.9667,K.G.Rathod
227,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
228,Lazaro Cardenas,MX,88.77,broken clouds,17.9583,-102.2,quinta antigua
230,Semnan,IR,85.53,clear sky,35.5729,53.3971,Semnan Tourist Hotel
231,Cassilandia,BR,86.61,clear sky,-19.1133,-51.7342,Delirius Motel
232,Hasaki,JP,66.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
234,Hamilton,US,85.39,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
235,Ulaangom,MN,48.58,broken clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
238,Vangaindrano,MG,65.75,light rain,-23.35,47.6,Hotel Fanilo
239,Sokolka,PL,56.59,clear sky,53.4072,23.5023,Restauracja i Pokoje Gościnne Verde
240,Gondar,ET,70.45,overcast clouds,12.6,37.4667,L Shape Hotel
242,Carnarvon,AU,57.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
244,Fairbanks,US,67.1,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
245,Neyshabur,IR,81.25,clear sky,36.2133,58.7958,Amiran Hotel
246,Brae,GB,53.51,scattered clouds,60.3964,-1.353,Busta House Hotel
247,Jaciara,BR,89.92,broken clouds,-15.9653,-54.9683,Taba Hotel
249,Meulaboh,ID,74.98,overcast clouds,4.1363,96.1285,Kost Pria
251,Shimoda,JP,68.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
252,Viedma,AR,52.9,overcast clouds,-40.8135,-62.9967,Hotel Cristal
253,Constantine,DZ,67.41,broken clouds,36.365,6.6147,Grand Hotel Cirta
254,Sao Filipe,CV,75.92,clear sky,14.8961,-24.4956,Hotel Xaguate
255,Kathu,TH,87.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
256,Lamar,US,84.52,few clouds,33.6668,-95.5836,Kings Inn Paris TX
258,Praia Da Vitoria,PT,70.05,scattered clouds,38.7333,-27.0667,Hotel Branco I
259,Morehead,US,75.31,overcast clouds,37.2711,-87.1764,CCI Express Inn
260,Mesyagutovo,RU,56.53,broken clouds,55.5303,58.2528,Mini-Otel' Grand
261,Asau,RO,54.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
262,Santa Cruz Verapaz,GT,81.36,scattered clouds,15.3667,-90.4333,Park Hotel
263,Chapais,CA,76.78,broken clouds,49.7834,-74.8492,Hôtel Opémiska
264,Sibolga,ID,75.13,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
265,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
267,Berlevag,NO,41.0,clear sky,70.8578,29.0864,Kvitbrakka
269,Kaeo,NZ,59.32,light rain,-35.1,173.7833,Bushido Lodge
271,Jalu,LY,80.92,clear sky,29.0331,21.5482,صاحبة الفخامة
272,Humberto De Campos,BR,79.39,few clouds,-2.5983,-43.4611,Pousada do Cabeça
274,Bell Ville,AR,57.79,overcast clouds,-32.6259,-62.6887,Hotel Central
275,Sao Felix Do Xingu,BR,83.91,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
276,Palu,ID,75.2,light rain,-0.8917,119.8707,Hotel Santika Palu
277,Seoul,KR,65.77,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
278,Korla,CN,72.21,scattered clouds,41.7597,86.1469,Gulisitan Hotel
279,Lieksa,FI,57.67,overcast clouds,63.3167,30.0167,Kaatrahovi
280,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
281,Homer,US,61.03,clear sky,59.6425,-151.5483,Beluga Lake Lodge
282,Biak,ID,75.42,broken clouds,-0.9131,122.8766,Penginapan Kim
283,General Roca,AR,54.0,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
285,Kavaratti,IN,82.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
286,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
287,Morondava,MG,73.89,scattered clouds,-20.2833,44.2833,La Case Bambou
288,Artesia,US,84.15,few clouds,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
289,Bilibino,RU,62.33,clear sky,68.0546,166.4372,Gostinitsa Severyanka
290,Sola,VU,80.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
292,Xiazhen,CN,77.31,light rain,34.8022,117.1117,Xinjiayuan Hotel
293,Melaka,MY,77.04,few clouds,2.196,102.2405,Hatten Hotel Melaka
295,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
296,Betafo,MG,53.76,overcast clouds,-19.8333,46.85,CHEZ MALALA
297,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
299,Combs-La-Ville,FR,66.47,clear sky,48.665,2.5696,Hostellerie de Varennes
300,Mount Isa,AU,44.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
301,Glasgow,GB,60.71,broken clouds,55.8652,-4.2576,Glasgow Marriott Hotel
303,Mareeba,AU,65.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
304,Calvinia,ZA,54.66,clear sky,-31.4707,19.776,Die Lemoenhuis
305,Hohhot,CN,61.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
308,Vaxjo,SE,62.73,broken clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
309,Udachnyy,RU,40.46,moderate rain,66.4167,112.4,Severnoye Siyaniye
310,Kodiak,US,54.32,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
311,Darnah,LY,70.65,clear sky,32.767,22.6367,فندق الفردوس
312,Cariati,IT,69.85,clear sky,39.4922,16.9594,La Residenza
314,Kulu,TR,59.29,clear sky,39.0951,33.0799,Kapadokya Motel
317,Pelym,RU,52.34,scattered clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
318,Nabire,ID,74.89,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
319,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
320,Yacuiba,BO,63.86,overcast clouds,-22.038,-63.6797,Hotel Monumental
321,Karratha,AU,74.97,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
323,Pacifica,US,85.62,haze,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
324,Ilulissat,GL,42.82,overcast clouds,69.2167,-51.1,Hotel Arctic
325,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
326,Tura,IN,72.93,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
327,San Juan,AR,70.74,clear sky,-31.5375,-68.5364,Hotel Provincial
329,Banjar,ID,80.46,few clouds,-8.19,114.9675,The Hamsa Resort
330,Marrakesh,MA,86.07,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
331,Chazuta,PE,77.85,overcast clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
332,Dolgoderevenskoye,RU,61.14,few clouds,55.3444,61.3444,Kashtatsky bor
333,Tiksi,RU,43.99,overcast clouds,71.6872,128.8694,Arktika
334,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
336,Soure,BR,82.06,light rain,-0.7167,-48.5233,Casarão da Amazônia
337,Copiapo,CL,58.69,clear sky,-27.3667,-70.3333,San Francisco de La Selva
339,Wamba,NG,77.27,light rain,8.9333,8.6,Roma Zee Guest House Annex
340,Angoche,MZ,72.21,overcast clouds,-16.2325,39.9086,Guest House HESADA
341,Xichang,CN,66.09,moderate rain,27.8964,102.2634,Xichang ibis Hotel
342,Birjand,IR,79.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
343,Frankfurt,DE,65.79,broken clouds,50.1167,8.6833,Hotel Scala
344,Dahuk,IQ,72.32,clear sky,36.8695,42.994,Parwar Hotel
345,Shanting,CN,75.87,light rain,35.0753,117.4578,JUNYI Hotel Shandong Zaozhuang Shanting District Xinyuan Road
