City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
304,Solnechnyy,RU,6/5/21 20:30,50.7214,136.6319,46.24,91,100,2.48
305,Tuatapere,NZ,6/5/21 20:30,-46.1333,167.6833,41.47,88,15,3.76
306,Huadian,CN,6/5/21 20:30,42.9633,126.7478,51.94,95,99,2.33
307,Urusha,RU,6/5/21 20:30,54.05,122.9,52.54,68,0,1.07
308,Vila Franca Do Campo,PT,6/5/21 20:30,37.7167,-25.4333,66.61,81,62,2.48
309,Ambilobe,MG,6/5/21 20:30,-13.2,49.05,71.4,90,60,2.51
310,Toyooka,JP,6/5/21 20:30,35.5333,134.8333,64.04,76,98,4.07
311,Christchurch,NZ,6/5/21 20:30,-43.5333,172.6333,52,90,90,4
312,San Andres,CO,6/5/21 20:25,12.5847,-81.7006,84.22,84,75,11.5
313,Santa Maria,BR,6/5/21 20:28,-29.6842,-53.8069,85.3,45,40,8.16
